ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-1,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 0 hours after stem cutting,2014-11-25T00:00:00,FCC4AHUACXX-TRDPOPwhfTAURABPEI-222_L1_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-1,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 0 hours after stem cutting,2014-11-25T00:00:00,FCC4AHUACXX-TRDPOPwhfTAURABPEI-222_L1_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-5,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,FCC4AHUACXX-TRDPOPwhfTAVRAAPEI-223_L1_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-5,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,FCC4AHUACXX-TRDPOPwhfTAVRAAPEI-223_L1_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-2,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 0 hours after stem cutting,2014-11-25T00:00:00,FCC4LJ7ACXX-TRDPOPuljTAMRAAPEI-213_L2_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-2,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 0 hours after stem cutting,2014-11-25T00:00:00,FCC4LJ7ACXX-TRDPOPuljTAMRAAPEI-213_L2_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-3,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,FCC4LJ7ACXX-TRDPOPuljTANRAAPEI-214_L2_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-3,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,FCC4LJ7ACXX-TRDPOPuljTANRAAPEI-214_L2_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-4,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,FCC4LJ7ACXX-TRDPOPuljTAORAAPEI-215_L2_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-4,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,FCC4LJ7ACXX-TRDPOPuljTAORAAPEI-215_L2_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-2,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 0 hours after stem cutting,2014-11-25T00:00:00,T89-2_FCC4CL0ACXX_L2_TRDPOPuljTAMRAAPEI-213_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-2,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 0 hours after stem cutting,2014-11-25T00:00:00,T89-2_FCC4CL0ACXX_L2_TRDPOPuljTAMRAAPEI-213_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-3,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,T89-3_FCC4CL0ACXX_L2_TRDPOPuljTANRAAPEI-214_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-3,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,T89-3_FCC4CL0ACXX_L2_TRDPOPuljTANRAAPEI-214_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-4,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,T89-4_FCC4CL0ACXX_L2_TRDPOPuljTAORAAPEI-215_1.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
 Transcriptome analysis of vascular cambium from  easy-to-root and  difficult-to-root genotype of populus,T89-4,RNA from vascular cambium tissues of P. tremula x P. tremuloides (T89 hybrid aspen) at 24 hours after stem cutting,2014-11-25T00:00:00,T89-4_FCC4CL0ACXX_L2_TRDPOPuljTAORAAPEI-215_2.fq.gz,/mnt/picea/storage/data/aspseq/cbellini/24_Bellini_cambium
